name,category,lat,lng
사명선,일식,36.6074082,127.3533642
콘벨트 청주점,기타,36.62193680000001,127.3542307
참버드나무집,한식,36.6164726,127.3556372
로버스그릴,기타,36.62193680000001,127.3542307
서원골,기타,36.6079288,127.3523122
탑연골,기타,36.6211744,127.3600757
강내루,중식,36.5741233,127.3540303
눈이 부시개,기타,36.6192029,127.3639925
명성보리밥쌈밥,한식,36.6237759,127.3555787
배스킨라빈스 청주강내점,기타,36.6233564,127.3589424
평양순대,한식,36.6214627,127.3581182
산하춘,한식,36.6111296,127.3525903
BHC치킨 청주강내점,패스트푸드,36.623052,127.3688017
평동전통떡마을,기타,36.6586974,127.4147941
위드쿠잉,양식,36.6489116,127.4087366
유생촌 청주점,양식,36.6513229,127.4226018
투더문,기타,36.6502017,127.4212823
고박사냉면 서청주점,기타,36.6561817,127.4336356
싱그레복집 지웰시티점,기타,36.6513229,127.4226018
이해윤추어명가 청주지웰시티점,기타,36.651498,127.4214634
엘림,기타,36.6566019,127.4101838
정카페&미정뷰티,기타,36.6543416,127.4134702
뵈르뵈르하우스,양식,36.6500294,127.4217517
커피팜스,기타,36.6687347,127.4327504
담원,한식,36.6607111,127.4351216
캠핑펍글러브,기타,36.6725912,127.4405844
테크노식당,한식,36.6604135,127.4333988
청주금용,중식,36.6572501,127.4839961
일면식,기타,36.6537036,127.4933904
할머니추어탕,기타,36.6641078,127.4882267
리정,기타,36.6545149,127.4866335
동방생고기정육점식당 본점,기타,36.6570611,127.4854199
돈까스나라 본점,일식,36.6610872,127.4790183
미호식당,한식,36.6614477,127.4797318
콩가루생삼겹살,기타,36.6525476,127.4878291
맛있는왕만두,분식,36.6617726,127.4917169
청천순대,한식,36.6575367,127.4904521
장수촌,한식,36.6589806,127.4770279
가화한정식,한식,36.6569955,127.4832332
소담김밥,분식,36.6542598,127.4890872
생어거스틴 청주원더아리아점,기타,36.6424198,127.4890108
초가집바지락손칼국수,기타,36.6562025,127.4756267
다담뜰한식뷔페 북청주점,한식,36.6639069,127.5110573
브루클린바이브 청주율량점,양식,36.6655761,127.4953652
스톤폴스,양식,36.6603456,127.5140573
카마타케제면소 율량점,일식,36.6657862,127.49642
바램 본점,기타,36.6660051,127.4991282
마루벌돌구이 율량직영점,한식,36.6645303,127.5003861
소보양본가,한식,36.6705465,127.4854066
조선게장집,기타,36.6673988,127.4880248
이화연가 청주본점,기타,36.6647286,127.4984187
한우암소본갈비,한식,36.6648083,127.4976037
조은집,한식,36.67017750000001,127.4885846
고래감자탕 청주율량점,기타,36.6647286,127.4984187
해강풍천장어,한식,36.6651107,127.4946893
스시히어로,일식,36.6666291,127.4931236
산더미해물찜해담 본점,기타,36.6657862,127.49642
꾸본석갈비,한식,36.7170552,127.4301715
청원한우마실,기타,36.7408232,127.4263868
대구왕뽈때기,기타,36.7157021,127.4298779
김산기염소탕 오창본점,기타,36.724232,127.4338482
고메스퀘어 오창점,양식,36.7395551,127.4506684
동이생고기 오창점,기타,36.732102,127.4508048
풍차두루치기,한식,36.7163646,127.4303465
하노이,기타,36.7125276,127.4302562
전주진미,한식,36.7129297,127.4307585
특별횟집,일식,36.7100612,127.4159291
브리키,양식,36.7400256,127.4498207
양철식당,한식,36.7145217,127.4316004
홍홍대패,기타,36.7151343,127.4304941
명장갈비,한식,36.7087095,127.4165071
장어천왕,한식,36.7107753,127.441222
언덕위에갤러리카페,기타,36.758384,127.5089803
옥수찐빵만두,분식,36.7722114,127.5645152
타이어하우스,기타,36.739025,127.5301191
카페추학리361,양식,36.7682739,127.5463901
북이촌닭,한식,36.759387,127.5523268
형과아우누룽지삼계탕왕갈비탕,한식,36.7727932,127.5653775
굿청와대한식뷔페,한식,36.7458113,127.5211811
춘화루,중식,36.7417789,127.5439854
보라언덕,양식,36.7334577,127.5586579
초정불고기,한식,36.7172853,127.5773294
빵구네집,한식,36.7604637,127.5540028
초인가든,한식,36.7433582,127.5246907
맛고을,기타,36.7559158,127.5484261
자화전자 본사 식당동,기타,36.7503785,127.5471614
오리마을,한식,36.758384,127.5089803
다래한식뷔페,한식,36.6623851,127.4355088
파스쿠찌 청주엘지로DT점,양식,36.6590739,127.435027
퉁퉁이네식당,한식,36.6596033,127.4350576
셰프밥상,양식,36.6598896,127.4350783
토마토 함밥집,기타,36.6604135,127.4333988
엠15엑스,한식,36.6561817,127.4336356
피자독,양식,36.6604135,127.4333988
짬뽕킹,중식,36.6623851,127.4355088
